artist,track,track_url,tags
Pierce the Veil,Bulls in the Bronx,https://www.last.fm/music/Pierce+the+Veil/_/Bulls+in+the+Bronx,"post-hardcore, emocore, screamo, emo, mexicore, rock, Experimental Rock, experimental, hardcore, pierce the veil"
Pierce the Veil,Caraphernelia,https://www.last.fm/music/Pierce+the+Veil/_/Caraphernelia,"post-hardcore, screamo, hardcore, emo, pierce the veil, emocore, rock, alternative rock, i thought this was a girl when i first listened to it, A Day To Remember"
Pierce the Veil,Hell Above,https://www.last.fm/music/Pierce+the+Veil/_/Hell+Above,"post-hardcore, screamo, metalcore, emo, Shred, rock, punk, Progressive rock, emocore, hardcore"
Panic! at the Disco,I Write Sins Not Tragedies,https://www.last.fm/music/Panic%21+at+the+Disco/_/I+Write+Sins+Not+Tragedies,"rock, alternative, emo, indie, PANIC AT THE DISCO, pop punk, alternative rock, catchy, 00s, i write sins not tragedies"
Panic! at the Disco,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off,https://www.last.fm/music/Panic%21+at+the+Disco/_/Lying+Is+the+Most+Fun+a+Girl+Can+Have+Without+Taking+Her+Clothes+Off,"alternative, rock, emo, indie, PANIC AT THE DISCO, alternative rock, pop punk, panic! at the disco, sexy, sex"
Panic! at the Disco,High Hopes,https://www.last.fm/music/Panic%21+at+the+Disco/_/High+Hopes,"alternative, rock, indie, pop, pop rock, indie rock, electropop, american, electronic, alternative rock"
Panic! at the Disco,But It's Better If You Do,https://www.last.fm/music/Panic%21+at+the+Disco/_/But+It%27s+Better+If+You+Do,"rock, alternative, emo, indie, PANIC AT THE DISCO, alternative rock, pop punk, indie rock, panic! at the disco, punk"
Panic! at the Disco,The Only Difference Between Martyrdom and Suicide Is Press Coverage,https://www.last.fm/music/Panic%21+at+the+Disco/_/The+Only+Difference+Between+Martyrdom+and+Suicide+Is+Press+Coverage,"rock, alternative, indie, emo, pop punk, PANIC AT THE DISCO, alternative rock, pop rock, indie rock, punk rock"
Pink Floyd,Wish You Were Here,https://www.last.fm/music/Pink+Floyd/_/Wish+You+Were+Here,"Progressive rock, classic rock, Psychedelic Rock, rock, Pink Floyd, 70s, acoustic, psychedelic, british, beautiful"
Pink Floyd,Money,https://www.last.fm/music/Pink+Floyd/_/Money,"Progressive rock, classic rock, rock, Psychedelic Rock, Pink Floyd, 70s, psychedelic, british, art rock, Progressive"
